product_links,item_names,img_links,prices
https://www.amazon.com/Merokeety-Womens-Quilted-Herringbone-Pockets/dp/B015E0NH32/ref=sr_1_94?dchild=1&qid=1598343492&s=apparel&sr=1-94,Women's Slim Fall Quilted Herringbone Puffer Vest with Zipper,https://m.media-amazon.com/images/I/61X5FkBijvL._AC_UL320_.jpg,$29.99
https://www.amazon.com/Moncler-Luxury-Fashion-8G50300V8053999-Polyamide/dp/B08D6S4PGS/ref=sr_1_95?dchild=1&qid=1598343492&s=apparel&sr=1-95,Luxury Fashion Woman 8G50300V8053999 Black Polyamide Down Jacket | Fall Winter 20,https://m.media-amazon.com/images/I/61Gc51MN0EL._AC_UL320_.jpg,$988.00
https://www.amazon.com/Orolay-Womens-Thickened-Jacket-Green/dp/B00HHOXREI/ref=sr_1_96?dchild=1&qid=1598343492&s=apparel&sr=1-96,Women's Thickened Down Jacket,https://m.media-amazon.com/images/I/71myDp193IL._AC_UL320_.jpg,$139.99
https://www.amazon.com/Wantdo-Womens-Hooded-Packable-Outwear/dp/B013LAZ77Q/ref=sr_1_97?dchild=1&qid=1598343492&s=apparel&sr=1-97,Women's Hooded Packable Ultra Light Weight Short Down Jacket,https://m.media-amazon.com/images/I/61BDTL7FlBL._AC_UL320_.jpg,$59.97
https://www.amazon.com/Drop-Downtown-Cropped-Windswept-Vintage/dp/B07KYK74C1/ref=sr_1_98?dchild=1&qid=1598343492&s=apparel&sr=1-98,Women's Downtown Cropped Cutoff Denim Jacket,https://m.media-amazon.com/images/I/91leXOfLEOL._AC_UL320_.jpg,$59.90
https://www.amazon.com/LAMARQUE-Womens-Harper-Luggage-XXL/dp/B07NSSX7MP/ref=sr_1_99?dchild=1&qid=1598343492&s=apparel&sr=1-99,Women's Harper,https://m.media-amazon.com/images/I/81iXAUCVB9L._AC_UL320_.jpg,$410.24
https://www.amazon.com/North-Face-Womens-Metropolis-Parka/dp/B07MH5NX22/ref=sr_1_100?dchild=1&qid=1598343492&s=apparel&sr=1-100,,,
https://www.amazon.com/Eddie-Bauer-Womens-CirrusLite-Hooded/dp/B07V265Z1B/ref=sr_1_101?dchild=1&qid=1598343492&s=apparel&sr=1-101,Women's CirrusLite Down Hooded Jacket,https://m.media-amazon.com/images/I/61yFdXllpzL._AC_UL320_.jpg,$99.99
https://www.amazon.com/PEARL-Womens-Zephrr-Barrier-Jacket/dp/B083YYDLJS/ref=sr_1_102?dchild=1&qid=1598343492&s=apparel&sr=1-102,Women's Zephrr Barrier Jacket,https://m.media-amazon.com/images/I/514kO2yeN8L._AC_UL320_.jpg,$100.00
https://www.amazon.com/Wantdo-Womens-Waterproof-Mountain-Windproof/dp/B06XDSPXX4/ref=sr_1_103?dchild=1&qid=1598343492&s=apparel&smid=A3F9O2GSOZDPIJ&sr=1-103,Women's Mountain Waterproof Ski Jacket Windproof Rain Jacket Winter Warm Snow Coat,https://m.media-amazon.com/images/I/81H+6fl5w5L._AC_UL320_.jpg,$67.90
https://www.amazon.com/Columbia-Womens-McCleary-Insulated-Heather/dp/B0821SRTPM/ref=sr_1_104?dchild=1&qid=1598343492&s=apparel&sr=1-104,Women's McCleary Pass Hooded Insulated Winter Jacket,https://m.media-amazon.com/images/I/71ubvl20HGL._AC_UL320_.jpg,$99.99
https://www.amazon.com/Majestic-Filatures-Womens-Metallic-Pockets/dp/B07Q6HG8YT/ref=sr_1_105?dchild=1&qid=1598343492&s=apparel&sr=1-105,Women's Jacket Front Pockets,https://m.media-amazon.com/images/I/91ycvo1PL5L._AC_UL320_.jpg,$455.27
https://www.amazon.com/Outdoor-Research-Womens-Aspire-Jacket/dp/B08B9MCF3V/ref=sr_1_106?dchild=1&qid=1598343492&s=apparel&sr=1-106,Women's Aspire Jacket Black,https://m.media-amazon.com/images/I/61nB28srUSL._AC_UL320_.jpg,$214.95
https://www.amazon.com/North-Face-Womens-Thermoball-Vest/dp/B01NA93D25/ref=sr_1_107?dchild=1&qid=1598343492&s=apparel&sr=1-107,Womens Thermoball Vest,https://m.media-amazon.com/images/I/71U2iZeH9nL._AC_UL320_.jpg,$98.01
https://www.amazon.com/INDYGENA-Podroz-Agathe-SM/dp/B07YHHR52J/ref=sr_1_108?dchild=1&qid=1598343492&s=apparel&sr=1-108,Podroz,https://m.media-amazon.com/images/I/81ZPKNTEDpL._MCnd_SEARCH281250_AC_UL320_.jpg,$93.40
https://www.amazon.com/Burton-Prowess-Chaqueta-marr%C3%B3n-dorado/dp/B081FLB7WW/ref=sr_1_109?dchild=1&qid=1598343492&s=apparel&sr=1-109,Prowess Snowboard Jacket Womens,https://m.media-amazon.com/images/I/716YQKgkABL._AC_UL320_.jpg,$259.95
https://www.amazon.com/Gresanhevic-Womens-Personality-Leather-Streetwear/dp/B07YXXW2T2/ref=sr_1_110?dchild=1&qid=1598343492&s=apparel&sr=1-110,Gresanhevic Women's Personality Punk Tassel Rivets Faux Leather Biker Jacket Streetwear Coat Short Coat Jacket,https://m.media-amazon.com/images/I/61eiRbbuFwL._MCnd_SEARCH281250_AC_UL320_.jpg,$190.48
https://www.amazon.com/Leather-Supreme-Studded-Zippered-Laces-Black-Large/dp/B084ZSTFTF/ref=sr_1_111?dchild=1&qid=1598343492&s=apparel&sr=1-111,Women's Studded Zippered Fashion Leather Vest W Side Laces,https://m.media-amazon.com/images/I/61j-tK1ahTL._AC_UL320_.jpg,$94.97
https://www.amazon.com/Merokeety-Womens-Quilted-Herringbone-Pockets/dp/B015E0NH32/ref=sr_1_112?dchild=1&qid=1598343492&s=apparel&sr=1-112,Women's Slim Fall Quilted Herringbone Puffer Vest with Zipper,https://m.media-amazon.com/images/I/61X5FkBijvL._AC_UL320_.jpg,$29.99
https://www.amazon.com/Orolay-Womens-Thickened-Jacket-Green/dp/B00HHOXREI/ref=sr_1_113?dchild=1&qid=1598343492&s=apparel&sr=1-113,Women's Thickened Down Jacket,https://m.media-amazon.com/images/I/71myDp193IL._AC_UL320_.jpg,$139.99
https://www.amazon.com/Calvin-Klein-Womens-Classic-Cashmere/dp/B07CCNQQHD/ref=sr_1_114?dchild=1&qid=1598343492&s=apparel&sr=1-114,Women's Classic Cashmere Wool Blend Coat,https://m.media-amazon.com/images/I/81TOZauPdzL._AC_UL320_.jpg,$125.77
https://www.amazon.com/fuinloth-Womens-Padded-Lightweight-Quilted/dp/B07SVYDPFH/ref=sr_1_115?dchild=1&qid=1598343492&s=apparel&sr=1-115,"Women's Padded Vest, Stand Collar Lightweight Zip Quilted Gilet",https://m.media-amazon.com/images/I/51EW3NYKJ+L._AC_UL320_.jpg,$22.99
https://www.amazon.com/LifeShe-Womens-Casual-Detachable-Hoodie/dp/B07BK18F1T/ref=sr_1_116?dchild=1&qid=1598343492&s=apparel&sr=1-116,Women's Casual Detachable Hoodie Denim Jacket,https://m.media-amazon.com/images/I/61to0RX7ZqL._AC_UL320_.jpg,$48.99
https://www.amazon.com/ALO-Womens-Sherpa-Jacket-Pristine/dp/B07D8GX7GJ/ref=sr_1_117?dchild=1&qid=1598343492&s=apparel&sr=1-117,ALO Women's Foxy Sherpa Jacket,https://m.media-amazon.com/images/I/61BTbMtBMrL._AC_UL320_.jpg,$187.95
https://www.amazon.com/ororo-Womens-Heated-Battery-Detachable/dp/B019C4QU6W/ref=sr_1_118?dchild=1&qid=1598343492&s=apparel&sr=1-118,Women's Slim Fit Heated Jacket with Battery Pack and Detachable Hood,https://m.media-amazon.com/images/I/61e1LGcPD6L._AC_UL320_.jpg,$139.99
https://www.amazon.com/Arcteryx-Fission-Jacket-Womens-X-Small/dp/B01MYM73TZ/ref=sr_1_119?dchild=1&qid=1598343492&s=apparel&sr=1-119,Fission SV Jacket Women's,https://m.media-amazon.com/images/I/714qF+zTPyL._AC_UL320_.jpg,$775.00
https://www.amazon.com/Under-Armour-Womens-Windstrike-Academy/dp/B0716YVVMG/ref=sr_1_120?dchild=1&qid=1598343492&s=apparel&sr=1-120,Women's Windstrike Full Zip Jacket,https://m.media-amazon.com/images/I/81058tTdYWL._AC_UL320_.jpg,$87.07
https://www.amazon.com/Mountain-Hardwear-Altius-Hybrid-Darkest/dp/B07M8NKRMP/ref=sr_1_121?dchild=1&qid=1598343492&s=apparel&sr=1-121,Altius Hybrid Hoodie,https://m.media-amazon.com/images/I/71OAml1zGcL._MCnd_SEARCH281250_AC_UL320_.jpg,$89.99
https://www.amazon.com/Columbia-Womens-Heavenly-Hooded-Jacket/dp/B01N2OGWJD/ref=sr_1_122?dchild=1&qid=1598343492&s=apparel&sr=1-122,womens Heavenly Long Hooded Jacket,https://m.media-amazon.com/images/I/51OrmjNeFqL._AC_UL320_.jpg,$112.50
https://www.amazon.com/Arthas-Waterproof-Outdoor-Raincoat-Lightweight/dp/B07RT9PSQK/ref=sr_1_123?dchild=1&qid=1598343492&s=apparel&sr=1-123,Women Light Rain Jacket Waterproof Active Outdoor Trench Raincoat with Hood Lightweight Plus Size for Girls,https://m.media-amazon.com/images/I/61MHaKWdGtL._AC_UL320_.jpg,$39.79
https://www.amazon.com/Columbia-Womens-Jacket-Black-Medium/dp/B008CDT6E8/ref=sr_1_124?dchild=1&qid=1598343492&s=apparel&sr=1-124,Women's,https://m.media-amazon.com/images/I/71d6D3oPaML._AC_UL320_.jpg,$37.50
https://www.amazon.com/Marmot-Womens-JENA-Jacket-Medium/dp/B011A3Y79U/ref=sr_1_125?dchild=1&qid=1598343492&s=apparel&sr=1-125,Women's Jena Fill Power Goose Down Jacket,https://m.media-amazon.com/images/I/81BOVjYYVNL._AC_UL320_.jpg,$66.36
https://www.amazon.com/Marmot-Starfire-Womens-Lightweight-Waterproof/dp/B0118BRD8G/ref=sr_1_126?dchild=1&qid=1598343492&s=apparel&sr=1-126,Women's Starfire Lightweight Waterproof Hooded Rain Jacket,https://m.media-amazon.com/images/I/81xRwdm1qUL._AC_UL320_.jpg,$300.00
https://www.amazon.com/Zeagoo-Womens-Classic-Quilted-Jacket/dp/B014W4KLQC/ref=sr_1_127?dchild=1&qid=1598343492&s=apparel&sr=1-127,Womens Classic Quilted Jacket Short Bomber Jacket Coat,https://m.media-amazon.com/images/I/81GHifC3bPL._AC_UL320_.jpg,$29.99
https://www.amazon.com/Columbia-Womens-Carson-Interchange-Jacket/dp/B0814C196L/ref=sr_1_128?dchild=1&qid=1598343492&s=apparel&sr=1-128,Womens Carson Pass Interchange Jacket,https://m.media-amazon.com/images/I/61vIrgmjOfL._AC_UL320_.jpg,$220.00
